,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,genre,duration
3589,4,1.0,Lucid Dreams,Juice WRLD,13.0,13684900,-7.2%,https://www.youtube.com/watch?v=mzB1VGEGcSU,"['chicago rap', 'melodic rap']",239960
3590,5,3.0,SAD!,XXXTENTACION,19.0,11367531,-14.2%,https://www.youtube.com/watch?v=pgN-vvVVxMA,"['emo rap', 'miami hip hop']",166605
3591,6,5.0,Boo'd Up,Ella Mai,17.0,10971271,-9.4%,https://www.youtube.com/watch?v=6YNZlXfW6Ho,"['pop', 'urban contemporary', 'rap', 'post-teen pop', 'pop r&b', 'r&b', 'uk contemporary r&b', 'dance pop', 'pop rap']",239341
3592,7,6.0,Taste (feat. Offset),Tyga,7.0,10204968,-7.3%,https://www.youtube.com/watch?v=LjxulQ1bEWg,"['southern hip hop', 'trap', 'atl hip hop', 'rap', 'hip hop', 'dance pop', 'pop rap']",229210
3593,10,13.0,Nice For What,Drake,15.0,7352233,22.4%,https://www.youtube.com/watch?v=U9BwWKXjVaI,"['rap', 'toronto rap', 'canadian hip hop', 'hip hop', 'canadian pop', 'pop rap']",210746
3594,11,7.0,I'm Upset,Drake,5.0,7036679,-29.1%,https://www.youtube.com/watch?v=wS4ESheuHDY,"['rap', 'toronto rap', 'canadian hip hop', 'hip hop', 'canadian pop', 'pop rap']",214466
3595,12,9.0,Te Bote Remix,"Anuel AA, Nio Garcia, Darell & Casper Magico",14.0,6874972,-7.7%,https://www.youtube.com/watch?v=9jI-z9QN6g8,[],Unknown
3596,13,8.0,Moonlight,XXXTENTACION,10.0,6791159,-10.7%,https://www.youtube.com/watch?v=ic9KOmxNrDc,"['j-poprock', 'j-rock', 'j-pop', 'japanese alternative rock', 'piano rock']",228386
3597,14,12.0,God’s Plan,Drake,26.0,6202730,-1.9%,https://www.youtube.com/watch?v=xpVfcZ0ZcFM,"['bluegrass', 'traditional bluegrass', 'progressive bluegrass']",199746
3598,15,11.0,Psycho (feat. Ty Dolla $ign),Post Malone,21.0,6148512,-3.3%,https://www.youtube.com/watch?v=au2n7VVGv_c,"['southern hip hop', 'trap', 'pop', 'rap', 'hip hop', 'trap soul', 'r&b', 'dfw rap', 'melodic rap', 'pop rap']",221440
3599,16,30.0,Drug Addicts,Lil Pump,2.0,5434873,29.8%,https://www.youtube.com/watch?v=bnCT0GXgLJg,[],Unknown
3600,17,24.0,X,Nicky Jam & J Balvin,18.0,5392239,17.2%,https://www.youtube.com/watch?v=_I_D_8Z4sJE,"['swedish soul', 'swedish pop']",196440
3601,18,16.0,Freaky Friday (feat. Chris Brown),Lil Dicky,19.0,5313060,-6.3%,https://www.youtube.com/watch?v=aZla1ttZHaw,"['pop', 'rap', 'comedy rap', 'r&b', 'dance pop', 'pop rap']",216631
3602,19,14.0,changes,XXXTENTACION,20.0,5264638,-10.8%,https://www.youtube.com/watch?v=f0bbDFRYD_A,"['emo rap', 'miami hip hop']",121886
3603,20,15.0,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,39.0,5167186,-10.3%,https://www.youtube.com/watch?v=zDo0H8Fm7d0,"['pop', 'country', 'country road', 'electropop', 'contemporary country', 'alt z', 'post-teen pop', 'modern country rock', 'country pop', 'dance pop', 'pop rap']",163870
3604,21,17.0,no tears left to cry,Ariana Grande,13.0,5161563,-8.9%,https://www.youtube.com/watch?v=ffxKSjUwKdU,"['post-teen pop', 'pop', 'dance pop']",205920
3605,22,18.0,"BIG BANK (feat. 2 Chainz, Big Sean & Nicki Minaj)",YG,7.0,5070947,-2.9%,https://www.youtube.com/watch?v=z61GFxVD8K4,[],Unknown
3606,23,41.0,FRIENDS,Marshmello & Anne-Marie,20.0,4951001,47%,https://www.youtube.com/watch?v=jzD_yyEcp0M,"['canadian contemporary r&b', 'indie electropop']",184342
3607,24,19.0,Kream (feat. Tyga),Iggy Azalea,2.0,4603082,-9.5%,https://www.youtube.com/watch?v=t7lM7Bn16Zg,"['southern hip hop', 'trap', 'pop', 'rap', 'hip pop', 'australian hip hop', 'post-teen pop', 'hip hop', 'dance pop', 'pop rap']",166626
3608,25,27.0,Perfect,Ed Sheeran,42.0,4599202,5.1%,https://www.youtube.com/watch?v=2Vv-BfVoq4g,"['pop punk', 'emo']",220360
3609,26,23.0,Genie,YoungBoy Never Broke Again,16.0,4480288,-2.9%,https://www.youtube.com/watch?v=nQ1mmVG-G1g,['soca'],238826
3610,27,25.0,Karma,Queen Naija,3.0,4447729,-0.8%,https://www.youtube.com/watch?v=bf71mnxB9kI,"['urban contemporary', 'pop', 'hip pop', 'r&b', 'neo soul']",256000
3611,28,22.0,Narcos,Migos,6.0,4396872,-7.7%,https://www.youtube.com/watch?v=unh8kWUuNt4,"['southern hip hop', 'trap', 'atl hip hop', 'rap', 'hip hop', 'pop rap']",255378
3612,29,20.0,This Is America,Childish Gambino,11.0,4387884,-13.6%,https://www.youtube.com/watch?v=VYOjWnS4cMY,"['wind symphony', 'marching band', 'military band']",183906
3613,30,21.0,Walk It Talk It (feat. Drake),Migos,25.0,4280588,-15.1%,https://www.youtube.com/watch?v=fGqdIPer-ms,[],Unknown
3614,31,28.0,I Fall Apart,Post Malone,21.0,4150850,-4.5%,https://www.youtube.com/watch?v=gk0nB9vvYfU,"['rap', 'dfw rap', 'melodic rap']",223346
3615,32,29.0,Plug Walk (feat. Dark Polo Gang),Rich The Kid,23.0,4058938,-3.7%,https://www.youtube.com/watch?v=ToY6sjSV8h8,[],Unknown
3616,33,63.0,OTW (feat. 6LACK & Ty Dolla $ign),Khalid,10.0,3965225,43.8%,https://www.youtube.com/watch?v=2e9diL0xTN4,[],Unknown
3617,34,32.0,Heaven,Kane Brown,28.0,3955163,-3%,https://www.youtube.com/watch?v=dRX0wDNK6S4,"['pop dance', 'pop', 'dance pop', 'edm']",277261
3618,35,35.0,That's On Me,Yella Beezy,11.0,3730794,-0.8%,https://www.youtube.com/watch?v=tCev_IcVxcU,"['trap', 'southern hip hop', 'rap', 'houston rap', 'hip hop', 'dfw rap']",219552
3619,36,34.0,Dura,Daddy Yankee,25.0,3718657,-3.9%,https://www.youtube.com/watch?v=sGIm0-dQd8M,"['latin hip hop', 'latin', 'tropical', 'reggaeton', 'trap latino']",200480
3620,37,31.0,Jocelyn Flores,XXXTENTACION,19.0,3692976,-11%,https://www.youtube.com/watch?v=FAucVNRx_mU,"['emo rap', 'miami hip hop']",119133
3621,38,56.0,Estamos Bien,Bad Bunny,3.0,3685768,22.8%,https://www.youtube.com/watch?v=bcHTl9h7TWI,['caracas indie'],74807
3622,39,38.0,Medicine,Queen Naija,21.0,3668730,0.7%,https://www.youtube.com/watch?v=dc89yyOS0Z8,"['pop rock', 'dream pop', 'lilith', 'alternative rock', 'alternative pop', 'new wave pop']",223626
3623,40,26.0,APESHIT,The Carters,5.0,3599771,-17.7%,https://www.youtube.com/watch?v=kbMqWXnpXcA,[],159613
3624,42,42.0,Havana (feat. Young Thug),Camila Cabello,42.0,3539585,5.3%,https://www.youtube.com/watch?v=BQ0mxQXmLsk,"['trap', 'pop', 'atl hip hop', 'atl trap', 'rap', 'electropop', 'post-teen pop', 'hip hop', 'gangster rap', 'dance pop', 'melodic rap', 'pop rap']",214773
3625,43,39.0,Sin Pijama,Becky G & Natti Natasha,5.0,3512753,-0.9%,https://www.youtube.com/watch?v=zEf423kYfqk,"['pop', 'latin pop', 'latin', 'rap latina', 'tropical', 'reggaeton', 'latin viral pop', 'trap latino', 'dance pop']",190160
3626,44,37.0,El Farsante (Remix),Ozuna,32.0,3492488,-5.3%,https://www.youtube.com/watch?v=wfWkmURBNv8,[],Unknown
3627,45,36.0,Be Careful,Cardi B,16.0,3315991,-10.8%,https://www.youtube.com/watch?v=8zSRkr1nQNw,"['jazz saxophone', 'swedish jazz']",327826
3628,47,96.0,Like A Girl,Haschak Sisters,4.0,3259813,72.8%,https://www.youtube.com/watch?v=y7L9kfTzU2k,"['transpop', 'deconstructed club', 'experimental club', 'escape room', 'experimental electronic']",190790
3629,48,48.0,Thunder,Imagine Dragons,41.0,3168826,0.1%,https://www.youtube.com/watch?v=fKopy74weus,['g-house'],160005
3630,50,51.0,Oye Mujer,Raymix,13.0,3122110,-0.1%,https://www.youtube.com/watch?v=qqqMyxv5al4,['cumbia sonidera'],243333
3631,52,46.0,Overdose,YoungBoy Never Broke Again,12.0,3095864,-3.4%,https://www.youtube.com/watch?v=YDQXzY11aS0,['corrosion'],315746
3632,53,92.0,Introduccion B (El Cosita Mix),El Chombo,15.0,3080966,60.5%,https://www.youtube.com/watch?v=LE6-4nAWEY0,[],Unknown
3633,56,52.0,Call Out My Name,The Weeknd,16.0,3002750,-3.6%,https://www.youtube.com/watch?v=M4ZoCHID9GI,"['canadian contemporary r&b', 'pop', 'canadian pop']",228373
3634,57,47.0,All Girls Are The Same,Juice WRLD,10.0,2982369,-6.4%,https://www.youtube.com/watch?v=h3EJICKwITw,"['chicago rap', 'melodic rap']",165819
3635,58,60.0,Love Lies,Khalid & Normani,17.0,2978928,6.1%,https://www.youtube.com/watch?v=xYtsL9znopI,"['glam metal', 'hard rock', 'rock']",249133
3636,59,50.0,Through The Storm,YoungBoy Never Broke Again,15.0,2966080,-5.1%,https://www.youtube.com/watch?v=53_HPbH64_M,"['praise', 'contemporary gospel']",330106
3637,60,58.0,Back To You,Selena Gomez,9.0,2943323,-0.6%,https://www.youtube.com/watch?v=VY1eFxgRR-k,"['trap', 'new orleans rap', 'rap', 'hip hop', 'pop rap']",329480
3638,61,69.0,"No Limit (Remix) (feat. Cardi B, A$AP Rocky, French Montana, Juicy J & Belly)",G-Eazy,22.0,2859027,10.6%,https://www.youtube.com/watch?v=l_lblj8Cq0o,[],Unknown
3639,62,55.0,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,4.0,2783162,-8.4%,https://www.youtube.com/watch?v=IHNzOHi8sJs,[],Unknown
3640,63,33.0,Sold Out Dates (feat. Lil Baby),Gunna,8.0,2685383,-33.8%,https://www.youtube.com/watch?v=wp6oQlb--Ks,"['trap', 'atl hip hop', 'rap', 'atl trap', 'hip hop', 'melodic rap']",166368
3641,64,45.0,Legends,Juice WRLD,4.0,2683825,-16.3%,https://www.youtube.com/watch?v=dIzgiclddlM,"['chicago rap', 'melodic rap']",191840
3642,65,70.0,Ocean (feat. Jacquees),TK Kravitz,10.0,2659229,3.7%,https://www.youtube.com/watch?v=pllOwLWU3eY,"['pop', 'atl hip hop', 'rap', 'urban contemporary', 'pop r&b', 'r&b', 'dance pop', 'pop rap']",219437
3643,66,62.0,Zombie,Bad Wolves,19.0,2647487,-4.3%,https://www.youtube.com/watch?v=9XaS93WMRQQ,"['hyphy', 'west coast trap', 'cali rap']",203112
3644,67,53.0,TATI (feat. DJ SpinKing),6ix9ine,8.0,2627145,-15.3%,https://www.youtube.com/watch?v=UC6USOV4ewc,[],Unknown
3645,69,49.0,ESSKEETIT,Lil Pump,14.0,2615148,-16.4%,https://www.youtube.com/watch?v=DPxL7dO5XPc,[],Unknown
3646,70,54.0,Fuck Love (feat. Trippie Redd),XXXTENTACION,10.0,2598427,-15.2%,https://www.youtube.com/watch?v=JcWOSgImiRw,"['trap', 'emo rap', 'rap', 'miami hip hop', 'melodic rap']",146520
3647,71,64.0,Southside,Lil Baby,10.0,2521350,-8.3%,https://www.youtube.com/watch?v=d-2KRSezHb0,"['southern hip hop', 'trap', 'houston rap', 'crunk', 'gangster rap', 'deep southern trap', 'chopped and screwed', 'dirty south rap']",291626
3648,72,57.0,I Kill People (feat. Tadoe & Chief Keef),Trippie Redd,6.0,2520217,-15.7%,https://www.youtube.com/watch?v=0yyay2p4oGo,[],Unknown
3649,75,40.0,Me Niego (feat. Ozuna & Wisin),Reik,16.0,2333112,-31.7%,https://www.youtube.com/watch?v=JyqD_zfXfi8,[],Unknown
3650,76,79.0,Simple,Florida Georgia Line,4.0,2326065,10.4%,https://www.youtube.com/watch?v=3GeaYy6zlXU,"['alternative metal', 'post-grunge', 'rock', 'alternative rock', 'pop rock']",224986
3651,78,73.0,All Of A Sudden  (feat. Moneybagg Yo),Lil Baby,11.0,2311323,-2.9%,https://www.youtube.com/watch?v=fyyn-dFALfI,[],Unknown
3652,79,67.0,Look at Me!,XXXTENTACION,5.0,2284282,-12.2%,https://www.youtube.com/watch?v=wJGcwEv7838,['pony'],226951
3653,80,66.0,Gotti,6ix9ine,13.0,2272015,-13.8%,https://www.youtube.com/watch?v=z5WrgDzNIZ0,['texas latin rap'],168650
3654,81,68.0,We Poppin' (feat. Birdman),YoungBoy Never Broke Again,11.0,2253282,-12.8%,https://www.youtube.com/watch?v=SKexLz5QRN0,"['trap', 'southern hip hop', 'rap', 'baton rouge rap', 'hip hop', 'gangster rap', 'dirty south rap', 'pop rap']",245174
3655,82,44.0,Bed,Nicki Minaj & Ariana Grande,2.0,2250011,-31.3%,https://www.youtube.com/watch?v=zxtl5ExJmag,"['electronica', 'downtempo']",257026
3656,84,83.0,Vaina Loca,Ozuna & Manuel Turizo,2.0,2162502,6.6%,https://www.youtube.com/watch?v=bx-fuY7LpSU,"['latin', 'latin pop', 'puerto rican pop', 'tropical', 'reggaeton', 'colombian pop', 'trap latino', 'reggaeton colombiano']",176133
3657,85,94.0,lovely,Billie Eilish & Khalid,7.0,2154277,13.4%,https://www.youtube.com/watch?v=V1Pl8CzNzCw,[],200204
3658,86,81.0,Bella,Wolfine,11.0,2110780,1.1%,https://www.youtube.com/watch?v=jjuSfhYiup8,"['ranchera', 'latin pop', 'latin', 'mexican pop', 'rock en espanol']",204186
3659,87,93.0,Nowadays (feat. Landon Cube),Lil Skies,19.0,2108218,10.1%,https://www.youtube.com/watch?v=DlFmfxACvig,"['trap', 'emo rap', 'rap', 'vapor trap', 'sad rap', 'underground hip hop', 'melodic rap', 'pop rap']",203907
3660,89,88.0,Beautiful Crazy,Luke Combs,10.0,2102726,7.3%,https://www.youtube.com/watch?v=rItv9i6c7AY,['big beat'],242706
3661,91,77.0,Everybody Dies In Their Nightmares,XXXTENTACION,5.0,2046471,-8.7%,https://www.youtube.com/watch?v=7JGDWKJfgxQ,"['emo rap', 'miami hip hop']",95466
3662,93,99.0,I'm a Mess,Bebe Rexha,2.0,2033531,10.1%,https://www.youtube.com/watch?v=7WNsspzkJVs,"['pop', 'uk pop']",244573
3663,94,76.0,Lust,Lil Skies,11.0,2032417,-9.9%,https://www.youtube.com/watch?v=tcaw6lzYt1Q,"['trap', 'rap', 'melodic rap', 'pop rap']",156000
3664,95,85.0,Simple Man (Live),Lynyrd Skynyrd,8.0,1992275,0.1%,https://www.youtube.com/watch?v=Mqfwbf3X8SA,[],Unknown
3665,96,91.0,One Kiss,Calvin Harris & Dua Lipa,11.0,1990207,3.1%,https://www.youtube.com/watch?v=DkeiKbqa02g,"['pop', 'edm', 'uk dance', 'pop dance', 'electro house', 'house', 'progressive house', 'uk pop', 'dance pop', 'pop rap']",209040
3666,97,95.0,Delicate,Taylor Swift,12.0,1978322,4.2%,https://www.youtube.com/watch?v=tCXGJQYZ9JA,['dutch americana'],229270
3667,98,75.0,Chun-Li,Nicki Minaj,14.0,1967147,-13.3%,https://www.youtube.com/watch?v=Wpm07-BGJnE,"['pop', 'hip pop', 'queens hip hop', 'post-teen pop', 'dance pop', 'pop rap']",191600
3668,1,1.0,In My Feelings,Drake,3.0,24692455,13.1%,https://www.youtube.com/watch?v=DRS_PpOrUZ4,"['rap', 'toronto rap', 'canadian hip hop', 'hip hop', 'canadian pop', 'pop rap']",217925
3669,3,3.0,I Like It,"Cardi B, Bad Bunny & J Balvin",16.0,13658920,-7.6%,https://www.youtube.com/watch?v=xTlNMmZKwpA,"['quiet storm', 'urban contemporary', 'post-disco', 'soul', 'disco', 'new jack swing', 'motown', 'r&b', 'funk']",279133
3670,4,4.0,Lucid Dreams,Juice WRLD,14.0,12433569,-9.1%,https://www.youtube.com/watch?v=mzB1VGEGcSU,"['chicago rap', 'melodic rap']",239960
3671,5,7.0,Taste (feat. Offset),Tyga,8.0,11712516,14.8%,https://www.youtube.com/watch?v=LjxulQ1bEWg,"['southern hip hop', 'trap', 'atl hip hop', 'rap', 'hip hop', 'dance pop', 'pop rap']",229210
3672,6,2.0,Girls Like You (feat. Cardi B),Maroon 5,9.0,10178444,-32.4%,https://www.youtube.com/watch?v=aJOTlE1K90k,"['pop', 'rap', 'post-teen pop', 'pop rock', 'dance pop', 'pop rap']",235545
3673,7,6.0,Boo'd Up,Ella Mai,18.0,9730462,-11.3%,https://www.youtube.com/watch?v=6YNZlXfW6Ho,"['pop', 'urban contemporary', 'rap', 'post-teen pop', 'pop r&b', 'r&b', 'uk contemporary r&b', 'dance pop', 'pop rap']",239341
3674,8,5.0,SAD!,XXXTENTACION,20.0,9729066,-14.4%,https://www.youtube.com/watch?v=pgN-vvVVxMA,"['emo rap', 'miami hip hop']",166605
3675,9,22.0,"BIG BANK (feat. 2 Chainz, Big Sean & Nicki Minaj)",YG,8.0,9078982,79%,https://www.youtube.com/watch?v=z61GFxVD8K4,[],Unknown
3676,10,9.0,Yes Indeed,Lil Baby & Drake,9.0,6807930,-9.7%,https://www.youtube.com/watch?v=KMJbJS6_8Ys,"['adult standards', 'soul', 'piano blues', 'classic soul', 'soul blues', 'jazz blues', 'vocal jazz']",130213
3677,11,12.0,Te Bote Remix,"Anuel AA, Nio Garcia, Darell & Casper Magico",15.0,6739091,-2%,https://www.youtube.com/watch?v=9jI-z9QN6g8,[],Unknown
3678,12,15.0,Psycho (feat. Ty Dolla $ign),Post Malone,22.0,6189240,0.7%,https://www.youtube.com/watch?v=au2n7VVGv_c,"['southern hip hop', 'trap', 'pop', 'rap', 'hip hop', 'trap soul', 'r&b', 'dfw rap', 'melodic rap', 'pop rap']",221440
3679,13,13.0,Moonlight,XXXTENTACION,11.0,6118066,-9.9%,https://www.youtube.com/watch?v=ic9KOmxNrDc,"['j-poprock', 'j-rock', 'j-pop', 'japanese alternative rock', 'piano rock']",228386
3680,14,8.0,God is a woman,Ariana Grande,2.0,5681696,-29.7%,https://www.youtube.com/watch?v=kHLHSlExFis,"['post-teen pop', 'pop', 'dance pop']",197546
3681,15,14.0,God’s Plan,Drake,27.0,5343422,-13.9%,https://www.youtube.com/watch?v=xpVfcZ0ZcFM,"['bluegrass', 'traditional bluegrass', 'progressive bluegrass']",199746
3682,16,10.0,Nice For What,Drake,16.0,5211162,-29.1%,https://www.youtube.com/watch?v=U9BwWKXjVaI,"['rap', 'toronto rap', 'canadian hip hop', 'hip hop', 'canadian pop', 'pop rap']",210746
3683,17,23.0,FRIENDS,Marshmello & Anne-Marie,21.0,5194153,4.9%,https://www.youtube.com/watch?v=jzD_yyEcp0M,"['canadian contemporary r&b', 'indie electropop']",184342
3684,18,19.0,changes,XXXTENTACION,21.0,4679038,-11.1%,https://www.youtube.com/watch?v=f0bbDFRYD_A,"['emo rap', 'miami hip hop']",121886
3685,19,18.0,Freaky Friday (feat. Chris Brown),Lil Dicky,20.0,4651941,-12.4%,https://www.youtube.com/watch?v=aZla1ttZHaw,"['pop', 'rap', 'comedy rap', 'r&b', 'dance pop', 'pop rap']",216631
3686,20,26.0,Genie,YoungBoy Never Broke Again,17.0,4635055,3.5%,https://www.youtube.com/watch?v=nQ1mmVG-G1g,['soca'],238826
3687,21,32.0,Plug Walk (feat. Dark Polo Gang),Rich The Kid,24.0,4457291,9.8%,https://www.youtube.com/watch?v=ToY6sjSV8h8,[],Unknown
3688,22,11.0,I'm Upset,Drake,6.0,4440712,-36.9%,https://www.youtube.com/watch?v=wS4ESheuHDY,"['rap', 'toronto rap', 'canadian hip hop', 'hip hop', 'canadian pop', 'pop rap']",214466
3689,23,25.0,Perfect,Ed Sheeran,43.0,4334922,-5.7%,https://www.youtube.com/watch?v=2Vv-BfVoq4g,"['pop punk', 'emo']",220360
3690,24,17.0,X,Nicky Jam & J Balvin,19.0,4246318,-21.3%,https://www.youtube.com/watch?v=_I_D_8Z4sJE,"['swedish soul', 'swedish pop']",196440
3691,25,21.0,no tears left to cry,Ariana Grande,14.0,4207502,-18.5%,https://www.youtube.com/watch?v=ffxKSjUwKdU,"['post-teen pop', 'pop', 'dance pop']",205920
3692,26,34.0,Heaven,Kane Brown,29.0,4078953,3.1%,https://www.youtube.com/watch?v=dRX0wDNK6S4,"['pop dance', 'pop', 'dance pop', 'edm']",277261
3693,27,16.0,Drug Addicts,Lil Pump,3.0,4060874,-25.3%,https://www.youtube.com/watch?v=bnCT0GXgLJg,[],Unknown
3694,28,31.0,I Fall Apart,Post Malone,22.0,3853846,-7.2%,https://www.youtube.com/watch?v=gk0nB9vvYfU,"['rap', 'dfw rap', 'melodic rap']",223346
3695,29,35.0,That's On Me,Yella Beezy,12.0,3796228,1.8%,https://www.youtube.com/watch?v=tCev_IcVxcU,"['trap', 'southern hip hop', 'rap', 'houston rap', 'hip hop', 'dfw rap']",219552
3696,30,28.0,Narcos,Migos,7.0,3759725,-14.5%,https://www.youtube.com/watch?v=unh8kWUuNt4,"['southern hip hop', 'trap', 'atl hip hop', 'rap', 'hip hop', 'pop rap']",255378
3697,31,39.0,Medicine,Queen Naija,22.0,3715138,1.3%,https://www.youtube.com/watch?v=dc89yyOS0Z8,"['pop rock', 'dream pop', 'lilith', 'alternative rock', 'alternative pop', 'new wave pop']",223626
3698,32,20.0,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,40.0,3640147,-29.6%,https://www.youtube.com/watch?v=zDo0H8Fm7d0,"['pop', 'country', 'country road', 'electropop', 'contemporary country', 'alt z', 'post-teen pop', 'modern country rock', 'country pop', 'dance pop', 'pop rap']",163870
3699,33,30.0,Walk It Talk It (feat. Drake),Migos,26.0,3624407,-15.3%,https://www.youtube.com/watch?v=fGqdIPer-ms,[],Unknown
3700,34,93.0,I'm a Mess,Bebe Rexha,3.0,3617172,77.9%,https://www.youtube.com/watch?v=LdH7aFjDzjI,"['pop', 'uk pop']",244573
3701,35,42.0,Havana (feat. Young Thug),Camila Cabello,43.0,3577765,1.1%,https://www.youtube.com/watch?v=BQ0mxQXmLsk,"['trap', 'pop', 'atl hip hop', 'atl trap', 'rap', 'electropop', 'post-teen pop', 'hip hop', 'gangster rap', 'dance pop', 'melodic rap', 'pop rap']",214773
3702,36,27.0,Karma,Queen Naija,4.0,3555906,-20.1%,https://www.youtube.com/watch?v=bf71mnxB9kI,"['urban contemporary', 'pop', 'hip pop', 'r&b', 'neo soul']",256000
3703,37,100.0,Wasted (feat. Lil Uzi Vert),Juice WRLD,2.0,3521687,80.6%,https://www.youtube.com/watch?v=6n4wt6gj7pA,"['trap', 'rap', 'chicago rap', 'philly rap', 'melodic rap']",258475
3704,39,24.0,Kream (feat. Tyga),Iggy Azalea,3.0,3447276,-25.1%,https://www.youtube.com/watch?v=t7lM7Bn16Zg,"['southern hip hop', 'trap', 'pop', 'rap', 'hip pop', 'australian hip hop', 'post-teen pop', 'hip hop', 'dance pop', 'pop rap']",166626
3705,40,43.0,Sin Pijama,Becky G & Natti Natasha,6.0,3433126,-2.3%,https://www.youtube.com/watch?v=zEf423kYfqk,"['pop', 'latin pop', 'latin', 'rap latina', 'tropical', 'reggaeton', 'latin viral pop', 'trap latino', 'dance pop']",190160
3706,41,37.0,Jocelyn Flores,XXXTENTACION,20.0,3421399,-7.4%,https://www.youtube.com/watch?v=FAucVNRx_mU,"['emo rap', 'miami hip hop']",119133
3707,42,36.0,Dura,Daddy Yankee,26.0,3389276,-8.9%,https://www.youtube.com/watch?v=sGIm0-dQd8M,"['latin hip hop', 'latin', 'tropical', 'reggaeton', 'trap latino']",200480
3708,44,49.0,Freestyle,Lil Baby,23.0,3364602,7.4%,https://www.youtube.com/watch?v=MHryuYVyHhk,"['trap', 'atl trap', 'atl hip hop', 'rap']",162053
3709,45,50.0,Oye Mujer,Raymix,14.0,3329843,6.7%,https://www.youtube.com/watch?v=qqqMyxv5al4,['cumbia sonidera'],243333
3710,46,29.0,This Is America,Childish Gambino,12.0,3283121,-25.2%,https://www.youtube.com/watch?v=VYOjWnS4cMY,"['wind symphony', 'marching band', 'military band']",183906
3711,47,44.0,El Farsante (Remix),Ozuna,33.0,3217183,-7.9%,https://www.youtube.com/watch?v=wfWkmURBNv8,[],Unknown
3712,48,48.0,Thunder,Imagine Dragons,42.0,3115830,-1.7%,https://www.youtube.com/watch?v=fKopy74weus,['g-house'],160005
3713,49,45.0,Be Careful,Cardi B,17.0,3096483,-6.6%,https://www.youtube.com/watch?v=8zSRkr1nQNw,"['jazz saxophone', 'swedish jazz']",327826
3714,50,58.0,Love Lies,Khalid & Normani,18.0,3056734,2.6%,https://www.youtube.com/watch?v=xYtsL9znopI,"['glam metal', 'hard rock', 'rock']",249133
3715,52,90.0,Mi Cama,Karol G,4.0,3035913,47.2%,https://www.youtube.com/watch?v=8-mloCL49vs,"['trap latino', 'reggaeton', 'latin', 'reggaeton colombiano']",151400
3716,53,59.0,Through The Storm,YoungBoy Never Broke Again,16.0,3011239,1.5%,https://www.youtube.com/watch?v=53_HPbH64_M,"['praise', 'contemporary gospel']",330106
3717,54,33.0,OTW (feat. 6LACK & Ty Dolla $ign),Khalid,11.0,2983182,-24.8%,https://www.youtube.com/watch?v=2e9diL0xTN4,[],Unknown
3718,55,40.0,APESHIT,The Carters,6.0,2968448,-17.5%,https://www.youtube.com/watch?v=kbMqWXnpXcA,[],159613
3719,56,53.0,Introduccion B (El Cosita Mix),El Chombo,16.0,2907812,-5.6%,https://www.youtube.com/watch?v=LE6-4nAWEY0,[],Unknown
3720,57,57.0,All Girls Are The Same,Juice WRLD,11.0,2878003,-3.5%,https://www.youtube.com/watch?v=h3EJICKwITw,"['chicago rap', 'melodic rap']",165819
3721,58,65.0,Ocean (feat. Jacquees),TK Kravitz,11.0,2854844,7.4%,https://www.youtube.com/watch?v=pllOwLWU3eY,"['pop', 'atl hip hop', 'rap', 'urban contemporary', 'pop r&b', 'r&b', 'dance pop', 'pop rap']",219437
3722,59,52.0,Overdose,YoungBoy Never Broke Again,13.0,2811726,-9.2%,https://www.youtube.com/watch?v=YDQXzY11aS0,['corrosion'],315746
3723,60,56.0,Call Out My Name,The Weeknd,17.0,2796285,-6.9%,https://www.youtube.com/watch?v=M4ZoCHID9GI,"['canadian contemporary r&b', 'pop', 'canadian pop']",228373
3724,62,38.0,Estamos Bien,Bad Bunny,4.0,2700541,-26.7%,https://www.youtube.com/watch?v=bcHTl9h7TWI,['caracas indie'],74807
3725,63,67.0,TATI (feat. DJ SpinKing),6ix9ine,9.0,2690622,2.4%,https://www.youtube.com/watch?v=UC6USOV4ewc,[],Unknown
3726,65,62.0,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,5.0,2663435,-4.3%,https://www.youtube.com/watch?v=IHNzOHi8sJs,[],Unknown
3727,66,69.0,ESSKEETIT,Lil Pump,15.0,2638758,0.9%,https://www.youtube.com/watch?v=DPxL7dO5XPc,[],Unknown
3728,67,46.0,31 DAYS,Future,2.0,2633655,-19.6%,https://www.youtube.com/watch?v=rcTIq5mtRRM,[],Unknown
3729,69,60.0,Back To You,Selena Gomez,10.0,2592363,-11.9%,https://www.youtube.com/watch?v=VY1eFxgRR-k,"['trap', 'new orleans rap', 'rap', 'hip hop', 'pop rap']",329480
3730,70,80.0,Gotti,6ix9ine,14.0,2579101,13.5%,https://www.youtube.com/watch?v=z5WrgDzNIZ0,['texas latin rap'],168650
3731,71,66.0,Zombie,Bad Wolves,20.0,2487976,-6%,https://www.youtube.com/watch?v=9XaS93WMRQQ,"['hyphy', 'west coast trap', 'cali rap']",203112
3732,73,64.0,Legends,Juice WRLD,5.0,2480413,-7.6%,https://www.youtube.com/watch?v=dIzgiclddlM,"['chicago rap', 'melodic rap']",191840
