,artist,song
14394,Brantley Gilbert,Hard Days
14399,Kane Brown,Worldwide Beautiful
14400,6ix9ine & Nicki Minaj,Trollz
14402,Lil Baby,The Bigger Picture
14450,Pop Smoke Featuring Rowdy Rebel,Make It Rain
14451,Kid LAROI & Juice WRLD,Go!
14453,NLE Choppa,Shotta Flow 5
14458,J. Cole,Snow On Tha Bluff
14464,Tyla Yaweh & Post Malone,Tommy Lee
14480,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat)
14482,Chloe X Halle,Do It
14491,Chris Janson,Done
14495,Zac Brown Band,The Man Who Loves You The Most
14499,J.I The Prince Of N.Y,Need Me
14536,Beyonce,Black Parade
14556,A Boogie Wit da Hoodie,Bleed
14591,BRELAND,My Truck
14593,YoungBoy Never Broke Again Featuring Lil Baby,One Shot
14595,Parker McCollum,Pretty Heart
14598,AJR,Bang!
14627,Megan Thee Stallion,Girls In The Hood
14632,BLACKPINK,How You Like That
14648,Kanye West Featuring Travis Scott,Wash Us In The Blood
14674,6LACK Featuring Lil Baby,Know My Rights
14676,Trevor Daniel x Selena Gomez,Past Life
14691,Eric Church,Stick That In Your Country Song
14692,Luke Combs,Lovin' On You
14695,Rod Wave Featuring ATR Son Son,Rags2Riches
14698,Tim McGraw,I Called Mama
14705,Pop Smoke Featuring Lil Baby & DaBaby,For The Night
14710,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo
14730,Pop Smoke,Got It On Me
14733,Pop Smoke Featuring Quavo,Aim For The Moon
14736,Pop Smoke,Gangstas
14738,Pop Smoke,44 Bulldog
14740,Pop Smoke,Something Special
14742,Pop Smoke,Yea Yea
14743,Pop Smoke Featuring Lil Tjay,Mood Swings
14751,Pop Smoke,What You Know Bout Love
14753,Pop Smoke Featuring Quavo & Future,Snitchin
14754,Pop Smoke,Bad Bitch From Tokyo (Intro)
14755,Pop Smoke Featuring Karol G,Enjoy Yourself
14756,Pop Smoke Featuring Swae Lee,Creature
14762,Moneybagg Yo,Said Sum
14764,Pop Smoke Featuring Tyga & Quavo,West Coast Shit
14773,Juice WRLD X Halsey,Life's A Mess
14775,Pop Smoke Featuring King Combs,Diana
14778,Pop Smoke,Tunnel Vision (Outro)
14798,6ix9ine,YaYa
14801,Juice WRLD x Marshmello,Come & Go
14804,Juice WRLD,Wishing Well
14806,Juice WRLD,Conversations
14809,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,Hate The Other Side
14811,Juice WRLD,Blood On My Jeans
14813,Juice WRLD,Titanic
14815,Juice WRLD,Bad Energy
14821,Kid Cudi & Eminem,The Adventures Of Moon Man & Slim Shady
14833,Juice WRLD,Stay High
14834,Juice WRLD,Fighting Demons
14841,Juice WRLD,Up Up And Away
14845,Juice WRLD,Screw Juice
14846,Juice WRLD,I Want It
14849,Juice WRLD,Can't Die
14850,Juice WRLD,Man Of The Year
14872,Kane Brown With Swae Lee & Khalid,Be Like That
14883,Summer Walker,Let It Go
14885,Summer Walker & PARTYNEXTDOOR,My Affection
14890,Saweetie,Tap In
14902,DJ Khaled Featuring Drake,Popstar
14907,DJ Khaled Featuring Drake,Greece
14996,Topic & A7S,Breaking Me
14999,J. Cole,the.climb.back
15000,Taylor Swift,Cardigan
15003,Taylor Swift,The 1
15005,Taylor Swift Featuring Bon Iver,Exile
15012,Taylor Swift,The Last Great American Dynasty
15015,Taylor Swift,My Tears Ricochet
15022,Taylor Swift,August
15025,Taylor Swift,Mirrorball
15034,Taylor Swift,Seven
15036,Taylor Swift,Invisible String
15038,Taylor Swift,This Is Me Trying
15041,Taylor Swift,Betty
15043,Taylor Swift,Illicit Affairs
15045,Maroon 5,Nobody's Love
15046,Taylor Swift,Mad Woman
15050,J. Cole,Lion King On Ice
15055,Blake Shelton Featuring Gwen Stefani,Happy Anywhere
15056,Taylor Swift,Epiphany
15057,Taylor Swift,Peace
15062,"J Balvin, Dua Lipa, Bad Bunny & Tainy",Un Dia (One Day)
15070,Taylor Swift,Hoax
15094,Logic,Perfect
15105,Billie Eilish,My Future
15118,A$AP Ferg Featuring  Nicki Minaj & MadeinTYO,Move Ya Hips
15142,Dan + Shay,I Should Probably Go To Bed
15191,DaBaby x Stunna 4 Vegas,No Dribble
15200,Cardi B Featuring Megan Thee Stallion,WAP
15207,Juice WRLD & The Weeknd,Smile
15261,Rod Wave,Letter From Houston
15272,Ava Max,Kings & Queens
15281,Machine Gun Kelly X blackbear,My Ex's Best Friend
15283,24kGoldn Featuring iann dior,Mood
15285,Rod Wave,Freestyle
15291,Jameson Rodgers,Some Girls
15292,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,La Jeepeta
15294,Mulatto,B*tch From da Souf
15301,Drake Featuring Lil Durk,Laugh Now Cry Later
15305,Morgan Wallen,7 Summers
15313,Miley Cyrus,Midnight Sky
15357,YoungBoy Never Broke Again,Kacey Talk
15360,Conan Gray,Heather
15365,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade
15370,Money Man Featuring Lil Baby,24
15391,Ozuna x Karol G x Myke Towers,Caramelo
15399,Chase Rice,Lonely If You Are
15400,BTS,Dynamite
15473,Travis Scott,The Plan
15478,Maluma & The Weeknd,Hawai
15489,YoungBoy Never Broke Again,All In
15494,Tate McRae,You Broke Me First.
15495,Nas Featuring Fivio Foreign & A$AP Ferg,Spicy
15512,BLACKPINK X Selena Gomez,Ice Cream
15537,Calvin Harris X The Weeknd,Over Now
15556,Chris Stapleton,Starting Over
15578,Internet Money Featuring Juice WRLD & Trippie Redd,Blastoff
15582,Ty Dolla $ign Featuring Nicki Minaj,Expensive
15589,WhoHeem,Lets Link
15598,Jon Pardi,Ain't Always The Cowboy
15628,SZA Featuring Ty Dolla $ign,Hit Different
15661,Lil Durk,The Voice
15663,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",Relacion
15664,Big Sean Featuring Post Malone,Wolves
15668,Big Sean Featuring Travis Scott,Lithuania
15681,Big Sean Featuring Nipsey Hussle,Deep Reverence
15690,Russell Dickerson,Love You Like I Used To
15694,Big Sean Featuring Ty Dolla $ign & Jhene Aiko,Body Language
15695,Matt Stell,Everywhere But On
15696,Big Sean,Why Would I Stop?
15734,YoungBoy Never Broke Again Featuring Lil Wayne,My Window
15735,Marshmello & Demi Lovato,OK Not To Be OK
15743,YoungBoy Never Broke Again,Drug Addiction
15764,Andrew Jannakos,Gone Too Soon
15771,YoungBoy Never Broke Again,Dead Trollz
15775,YoungBoy Never Broke Again,Cross Roads
15780,YoungBoy Never Broke Again,The Last Backyard...
15787,YoungBoy Never Broke Again,Right Foot Creep
15794,VEDO,You Got It
15797,YoungBoy Never Broke Again,Dirty Stick
15802,Justin Bieber Featuring Chance The Rapper,Holy
15850,Sam Smith,Diamonds
15861,Keith Urban Duet With P!nk,One Too Many
15869,Luke Combs Featuring Amanda Shires,Without You
15879,Lil Tecca & Lil Uzi Vert,Dolly
15889,Lil Tecca & Polo G Featuring Lil Durk,When You Down
15890,Anitta Featuring Cardi B & Myke Towers,Me Gusta
15891,YFN Lucci,Wet. (She Got That...)
15892,Sada Baby Featuring Nicki Minaj,Whole Lotta Choppas
15894,DaBaby Featuring Young Thug,Blind
15900,Travis Scott Featuring Young Thug & M.I.A.,Franchise
15943,Machine Gun Kelly & Halsey,Forget Me Too
15946,Polo G,Epidemic
15949,Machine Gun Kelly,Bloody Valentine
15987,Ne-Yo & Jeremih,U 2 Luv
15988,Zayn,Better
15990,Machine Gun Kelly,Drunk Face
15992,Chris Lane,"Big, Big Plans"
15993,Karol G,"Ay, Dios Mio!"
15994,Niko Moon,Good Time
15995,Ritt Momney,Put Your Records On
15996,Tory Lanez,Money Over Fallouts
16008,21 Savage & Metro Boomin,Runnin
16009,21 Savage & Metro Boomin Featuring Drake,Mr. Right Now
16017,Shawn Mendes,Wonder
16018,21 Savage & Metro Boomin,Glock In My Lap
16020,Fleetwood Mac,Dreams
16025,21 Savage & Metro Boomin Featuring Young Thug,Rich N*gga Sh*t
16029,Megan Thee Stallion Featuring Young Thug,Don't Stop
16031,21 Savage & Metro Boomin,Slidin
16032,21 Savage & Metro Boomin,Many Men
16036,Why Don't We,Fallin'
16047,Bryson Tiller Featuring Drake,Outta Time
16055,21 Savage & Metro Boomin,My Dawg
16056,21 Savage & Metro Boomin,Brand New Draco
16058,BLACKPINK,Lovesick Girls
16060,21 Savage & Metro Boomin Featuring Young Nudy,Snitches & Rats
16070,21 Savage & Metro Boomin,No Opp Left Behind
16072,Dua Lipa,Levitating
16073,21 Savage & Metro Boomin,Steppin On N*ggas
16075,21 Savage & Metro Boomin,RIP Luv
16082,Bryson Tiller,Always Forever
16083,Bryson Tiller,Years Go By
16090,21 Savage & Metro Boomin,Said N Done
16157,Bebe Rexha Featuring Doja Cat,"Baby, I'm Jealous"
16194,Kelsea Ballerini,Hole In The Bottle
16197,Clairo,Sofia
16213,Justin Bieber & benny blanco,Lonely
16251,Yung Bleu Featuring Drake,You're Mines Still
16270,G-Eazy Featuring blackbear,Hate The Way
16280,Larray,Canceled
16284,Kenny Chesney,Happy Does
16292,BRS Kash,Throat Baby (Go Baby)
16296,T.I. Featuring Lil Baby,Pardon
16299,Lady A,Champagne Night
16300,Ariana Grande,Positions
16301,Luke Combs,Forever After All
16333,Jack Harlow,Tyler Herro
16352,Ty Dolla $ign Featuring Post Malone,Spicy
16368,Luke Combs,The Other Guy
16369,H.E.R.,Damage
16375,Saweetie Featuring Jhene Aiko,Back To The Streets
16376,The Kid LAROI,So Done
16383,Luke Combs,Cold As You
16385,DaBaby,Practice
16397,Farruko,La Toxica
16398,Joel Corry X MNEK,Head & Heart
16399,Little Big Town,"Wine, Beer, Whiskey"
16407,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,34+35
16408,Bad Bunny & Jhay Cortez,Dakiti
16431,Ariana Grande Featuring Doja Cat,Motive
16434,Ariana Grande Featuring The Weeknd,Off The Table
16439,Ariana Grande,pov
16442,Ariana Grande,Just Like Magic
16446,Ariana Grande,Shut Up
16448,Ariana Grande,Nasty
16451,Ariana Grande Featuring Ty Dolla $ign,Safety Net
16462,Ariana Grande,Six Thirty
16464,Ariana Grande,My Hair
16469,Ariana Grande,Obvious
16470,Ariana Grande,West Side
16474,Ariana Grande,Love Language
16479,Trippie Redd,Weeeeee
16491,"Lil Durk, 6LACK & Young Thug",Stay Down
16497,DJ Chose Featuring BeatKing,Thick
16499,Jason Derulo,Take You Dancing
16534,"Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again",What That Speed Bout!?
16546,King Von,Took Her To The O
16564,NAV Featuring Lil Baby,Don't Need Friends
16565,King Von Featuring Polo G,The Code
16575,The Kid LAROI Featuring YoungBoy Never Brok Again & Internet Money,Tragic
16576,King Von Featuring Lil Durk,All These N**gas
16580,King Von Featuring Lil Durk,Crazy Story 2.0
16582,The Kid LAROI,Always Do
16583,NAV With Gunna,Young Wheezy
16592,Darius Rucker,Beers And Sunshine
16593,Billie Eilish,Therefore I Am
16596,CJ,Whoopty
16598,The Kid LAROI Featuring Machine Gun Kelly,"F*ck You, Goodbye"
16630,Future & Lil Uzi Vert,Drankin N Smokin
16636,Lil Nas X,Holiday
16645,Future & Lil Uzi Vert,Stripes Like Burberry
16649,Future & Lil Uzi Vert,That's It
16653,Future & Lil Uzi Vert,Real Baby Pluto
16656,Phoebe & Maggie,Iris
16663,Future & Lil Uzi Vert,Marni On Me
16666,Future & Lil Uzi Vert,Million Dollar Play
16667,Future & Lil Uzi Vert,Sleeping On The Floor
16684,Thomas Rhett,What's Your Country Song
16685,Future & Lil Uzi Vert,Plastic
16696,Future,Rockstar Chainz
16699,Future & Lil Uzi Vert,Bought A Bad Bitch
16700,BTS,Life Goes On
16707,Shawn Mendes & Justin Bieber,Monster
16711,Megan Thee Stallion,Body
16712,BTS,Blue & Grey
16721,BTS,Stay
16724,Morgan Wallen,Somebody's Problem
16745,Morgan Wallen,Still Goin Down
16753,Miley Cyrus Featuring Dua Lipa,Prisoner
16768,BTS,Fly To My Room
16769,BTS,Telepathy
16770,Megan Thee Stallion Featuring DaBaby,Cry Baby
16771,BTS,Dis-ease
16781,Megan Thee Stallion,Shots Fired
16782,Morgan Wallen,Livin' The Dream
16785,Meek Mill Featuring Lil Durk,Pain Away
16791,Megan Thee Stallion Featuring City Girls & Hot Girl Meg,Do It On The Tip
16793,Megan Thee Stallion,Circles
16796,Karol G,Bichota
16798,Morgan Wallen,Cover Me Up
16838,Michael Buble,It's Beginning To Look A Lot Like Christmas
16852,Bad Bunny & Rosalia,La Noche de Anoche
16859,Bad Bunny,Te Mudaste
16863,Bad Bunny,Yo Visto Asi
16864,Trey Lewis,Dicked Down In Dallas
16871,Bad Bunny,Haciendo Que Me Amas
16873,Bad Bunny,Te Deseo Lo Mejor
16874,Kelly Clarkson & Brett Eldredge,Under The Mistletoe
16877,Bad Bunny,Booker T
16878,Bad Bunny,El Mundo Es Mio
16880,Bad Bunny,Hoy Cobre
16882,Justin Bieber,Rockin' Around The Christmas Tree
16886,Bad Bunny,Maldita Pobreza
16893,Bad Bunny,La Droga
16894,Carrie Underwood,Favorite Time Of Year
16929,Lil Baby,On Me
16938,Ariana Grande,Santa Tell Me
16940,Lil Baby,Errbody
16962,The Kid LAROI,Without You
16971,Juice WRLD x benny blanco,Real Shit
16975,Mariah Carey Featuring Ariana Grande & Jennifer Hudson,Oh Santa!
16987,Dan + Shay,Take Me Home For Christmas
16995,Carrie Underwood & John Legend,Hallelujah
16999,Carrie Underwood,Silent Night
17000,Taylor Swift,Willow
17020,Taylor Swift,Champagne Problems
17033,Taylor Swift Featuring HAIM,"No Body, No Crime"
17038,Taylor Swift,'Tis The Damn Season
17039,Taylor Swift,Gold Rush
17040,Kid Cudi,Tequila Shots
17044,Taylor Swift,Tolerate It
17046,Nat King Cole,Deck The Halls
17048,Kid Cudi,She Knows This
17051,Taylor Swift,Happiness
17053,"Kid Cudi, Skepta & Pop Smoke",Show Out
17056,Taylor Swift Featuring Bon Iver,Evermore
17060,Taylor Swift,Ivy
17062,Taylor Swift Featuring The National,Coney Island
17063,Kid Cudi,Another Day
17066,Taylor Swift,Dorothea
17067,Taylor Swift,Long Story Short
17070,Taylor Swift,Cowboy Like Me
17073,Jack Harlow Featuring Big Sean,Way Out
17074,Taylor Swift,Marjorie
17077,Kid Cudi,Mr. Solo Dolo III
17079,Kid Cudi,Dive
17081,Taylor Swift,Closure
17084,Kid Cudi,Heaven On Earth
17088,The Kid LAROI & Juice WRLD,Reminds Me Of You
17089,Kid Cudi,Sad People
17090,Kid Cudi,Damaged
17099,Kid Cudi,Beautiful Trip
17135,Bing Crosby & The Andrews Sisters,Mele Kalikimaka (Merry Christmas)
17138,Donny Hathaway,This Christmas
17144,Eagles,Please Come Home For Christmas
17145,Jackson 5,Santa Claus Is Comin' To Town
17146,The Beach Boys,Little Saint Nick
17148,Michael Buble,Have Yourself A Merry Little Christmas
17149,Bing Crosby,I'll Be Home For Christmas
17158,Ed Sheeran,Afterglow
17159,Eminem,Gnat
17177,Gabby Barrett,The First Noel
17183,Popp Hunna,Adderall (Corvette Corvette)
17192,Lil Durk,Backdoor
17197,DDG,Moonwalking In Calabasas
17237,SZA,Good Days
17252,Lil Durk & King Von,Still Trappin'
17270,Lil Durk,Redman
17271,Playboi Carti,Slay3r
17281,Playboi Carti Featuring Kanye West,Go2DaMoon
17285,Lil Durk,Refugee
17287,All Time Low Featuring Demi Lovato & blackbear,Monsters
17289,Playboi Carti,Vamp Anthem
17290,Luke Bryan,Down To One
17291,Playboi Carti,New N3on
17292,Lil Durk,Death Ain't Easy
17296,Parmalee x Blanco Brown,Just The Way
17298,Playboi Carti Featuring Kid Cudi,M3tamorphosis
17299,Gabby Barrett,The Good Ones
17305,Justin Bieber,Anyone
17378,Florida Georgia Line,Long Live
17386,Black Eyed Peas X Shakira,Girl Like Me
17387,Dustin Lynch,Momma's House
17392,Pooh Shiesty Featuring Lil Durk,Back In Blood
17393,Eric Church,Hell Of A View
17394,Jordan Davis,Almost Maybes
17396,Brett Young,Lady
17399,Glass Animals,Heat Waves
17400,Olivia Rodrigo,Drivers License
17408,Morgan Wallen,Wasted On You
17431,Morgan Wallen,Sand In My Boots
17438,Saweetie Featuring Doja Cat,Best Friend
17441,Morgan Wallen,Warning
17445,Morgan Wallen,865
17461,Morgan Wallen,Dangerous
17462,Morgan Wallen,Neon Eyes
17465,Morgan Wallen,More Surprised Than Me
17482,Morgan Wallen,Whiskey'd My Way
17483,Morgan Wallen,Your Bartender
17485,Morgan Wallen Featuring Ben Burgess,Outlaw
17489,Morgan Wallen Featuring Chris Stapleton,Only Thing That's Gone
17490,Doja Cat,Streets
17491,Morgan Wallen,This Bar
17492,Morgan Wallen,Wonderin' Bout The Wind
17494,Jazmine Sullivan,Pick Up Your Feelings
17496,Jazmine Sullivan Featuring H.E.R.,Girl Like Me
17499,Erica Banks,Buss It
17521,Juice WRLD & Young Thug,Bad Boy
17554,DaBaby,Masterpiece
17575,Tim McGraw & Tyler Hubbard,Undivided
17583,SpotemGottem Featuring Pooh Shiesty Or DaBaby,Beat Box
17584,Travis Scott & HVME,Goosebumps
17591,Selena Gomez,De Una Vez
17593,Ant Clemons Featuring Justin Timberlake,Better Days
17596,Tenille Arts,Somebody Like That
17647,Sabrina Carpenter,Skin
17661,Billie Eilish & ROSALIA,Lo Vas A Olvidar
17696,YBN Nahmir Featuring 21 Savage,Opp Stoppa
17699,Anuel AA & Ozuna,Antes
17738,Lil Durk Featuring Lil Baby,Finesse Out The Gang Way
17752,Lil Durk Featuring Pooh Shiesty,Should've Ducked
17770,"Brent Faiyaz & DJ Dahi Featuring Tyler, The Creator",Gravity
17773,Selena Gomez With Rauw Alejandro,Baila Conmigo
17790,Lil Durk,Kanye Krazy
17795,Tom MacDonald,Fake Woke
17801,Cardi B,Up
17836,Moneybagg Yo,Time Today
